rho,lambda,generated,delivered,dropped,drop_prob,avg_queue_delay,avg_e2e_delay,max_queue
0.1,12.5,5000,5000,0,0,0.00048567,0.01858567,4
0.2,25,5000,5000,0,0,0.00106235,0.01916235,5
0.3,37.5,5000,5000,0,0,0.0018076,0.0199076,5
0.4,50,5000,5000,0,0,0.00280136,0.02090136,5
0.5,62.5,5000,5000,0,0,0.00419798,0.02229798,7
0.6,75,5000,5000,0,0,0.00635974,0.02445974,9
0.7,87.5,5000,5000,0,0,0.00972718,0.02782718,10
0.8,100,5000,4983,17,0.0034,0.01562054,0.03372054,10
0.9,112.5,5000,4902,98,0.0196,0.02471692,0.04281692,10
0.95,118.75,5000,4824,176,0.0352,0.03046939,0.04856939,10
1,125,5000,4712,288,0.0576,0.03646339,0.05456339,10
1.1,137.5,5000,4418,582,0.1164,0.04767304,0.06577304,10
1.2,150,5000,4091,909,0.1818,0.05463326,0.07273326,10
