rho,lambda,generated,delivered,dropped,drop_prob,avg_queue_delay,avg_e2e_delay,max_queue
0.10,12.5000,5000,5000,0,0.000000,0.00043045,0.01853045,4
0.20,25.0000,5000,5000,0,0.000000,0.00100701,0.01910701,5
0.30,37.5000,5000,5000,0,0.000000,0.00171904,0.01981904,7
0.40,50.0000,5000,5000,0,0.000000,0.00267558,0.02077558,8
0.50,62.5000,5000,5000,0,0.000000,0.00398730,0.02208730,8
0.60,75.0000,5000,5000,0,0.000000,0.00601219,0.02411219,9
0.70,87.5000,5000,5000,0,0.000000,0.00943567,0.02753567,10
0.80,100.0000,5000,4986,14,0.002800,0.01599339,0.03409339,10
0.90,112.5000,5000,4897,103,0.020600,0.02617244,0.04427244,10
0.95,118.7500,5000,4811,189,0.037800,0.03176002,0.04986002,10
1.00,125.0000,5000,4693,307,0.061400,0.03732143,0.05542143,10
1.10,137.5000,5000,4406,594,0.118800,0.04621360,0.06431360,10
1.20,150.0000,5000,4095,905,0.181000,0.05433762,0.07243762,10
